ransom_group_no,categories
vitema.vi.gov,Trade Secrets
torrepacheco.es,Internal Documents
torrepacheco.es,Media
torrepacheco.es,PII
rmhfranchise.com,Internal Documents
rmhfranchise.com,Media
brfibra.com,Media
sampoernaagro.com,Customer
sampoernaagro.com,Financial
sampoernaagro.com,Health
sampoernaagro.com,Internal Documents
sampoernaagro.com,Location
sampoernaagro.com,PII
sampoernaagro.com,Strategic
kjf-augsburg.de,Financial
kjf-augsburg.de,Health
kjf-augsburg.de,Internal Documents
kjf-augsburg.de,Media
kjf-augsburg.de,PII
kjf-augsburg.de,Private Communications
kjf-augsburg.de,Source Code
kjf-augsburg.de,System Configurations
richmont.edu,Customer
richmont.edu,Financial
richmont.edu,Health
richmont.edu,Internal Documents
richmont.edu,Media
richmont.edu,PII
richmont.edu,Private Communications
richmont.edu,Source Code
richmont.edu,Strategic
jdbchina.com,Source Code
sandytownshippolice.org,Customer
sandytownshippolice.org,Financial
sandytownshippolice.org,Internal Documents
sandytownshippolice.org,Media
sandytownshippolice.org,Strategic
habeco.com.vn,Financial
habeco.com.vn,Internal Documents
habeco.com.vn,PII
habeco.com.vn,Private Communications
hphood.com,Financial
rhp.com.br,Health
rhp.com.br,Media
rhp.com.br,PII
vinatiorganics.com,Financial
vinatiorganics.com,Internal Documents
bridgestoneamericas.com,Financial
bridgestoneamericas.com,Internal Documents
bridgestoneamericas.com,Strategic
bridgestoneamericas.com,Trade Secrets
hbmolding.com,Financial
hbmolding.com,Health
hbmolding.com,Internal Documents
hbmolding.com,Location
hbmolding.com,Media
hbmolding.com,PII
hbmolding.com,Private Communications
hbmolding.com,Source Code
countyins.com,Customer
countyins.com,Financial
countyins.com,Health
countyins.com,Internal Documents
countyins.com,Media
countyins.com,Private Communications
udhaiyamdhall.com,Customer
udhaiyamdhall.com,Internal Documents
udhaiyamdhall.com,PII
udhaiyamdhall.com,Private Communications
salaam.af,Health
salaam.af,PII
crinetics.com,Customer
crinetics.com,Financial
crinetics.com,Internal Documents
crinetics.com,PII
bnsgroup.co.uk,Customer
bnsgroup.co.uk,Financial
bnsgroup.co.uk,Source Code
ipsenlogistics.com,Financial
centralepaysanne.lu,Customer
centralepaysanne.lu,Financial
centralepaysanne.lu,Internal Documents
jutebag.co.uk,Customer
jutebag.co.uk,Financial
jutebag.co.uk,Media
iaconnecticut.com,Financial
iaconnecticut.com,Internal Documents
